method,run,route_id,allocation
Elite-preserving stochastic search,12,SYN-037,0
Elite-preserving stochastic search,12,SYN-044,3
Elite-preserving stochastic search,12,SYN-050,4
Random search,12,SYN-009,0
Random search,12,SYN-014,1
Random search,12,SYN-027,1
Random search,12,SYN-034,1
Random search,12,SYN-035,0
Random search,12,SYN-037,0
Random search,12,SYN-044,3
Random search,12,SYN-050,4
Elite-preserving stochastic search,13,SYN-009,0
Elite-preserving stochastic search,13,SYN-014,1
Elite-preserving stochastic search,13,SYN-027,2
Elite-preserving stochastic search,13,SYN-034,1
Elite-preserving stochastic search,13,SYN-035,1
Elite-preserving stochastic search,13,SYN-037,0
Elite-preserving stochastic search,13,SYN-044,2
Elite-preserving stochastic search,13,SYN-050,3
Random search,13,SYN-009,0
Random search,13,SYN-014,1
Random search,13,SYN-027,2
Random search,13,SYN-034,1
Random search,13,SYN-035,1
Random search,13,SYN-037,0
Random search,13,SYN-044,2
Random search,13,SYN-050,3
Elite-preserving stochastic search,14,SYN-009,1
Elite-preserving stochastic search,14,SYN-014,1
Elite-preserving stochastic search,14,SYN-027,1
Elite-preserving stochastic search,14,SYN-034,1
Elite-preserving stochastic search,14,SYN-035,0
Elite-preserving stochastic search,14,SYN-037,0
Elite-preserving stochastic search,14,SYN-044,3
Elite-preserving stochastic search,14,SYN-050,3
Random search,14,SYN-009,1
Random search,14,SYN-014,1
Random search,14,SYN-027,1
Random search,14,SYN-034,1
Random search,14,SYN-035,0
Random search,14,SYN-037,0
Random search,14,SYN-044,3
Random search,14,SYN-050,3
Elite-preserving stochastic search,15,SYN-009,0
Elite-preserving stochastic search,15,SYN-014,1
Elite-preserving stochastic search,15,SYN-027,1
Elite-preserving stochastic search,15,SYN-034,1
Elite-preserving stochastic search,15,SYN-035,0
Elite-preserving stochastic search,15,SYN-037,1
Elite-preserving stochastic search,15,SYN-044,2
Elite-preserving stochastic search,15,SYN-050,4
Random search,15,SYN-009,0
Random search,15,SYN-014,1
Random search,15,SYN-027,1
Random search,15,SYN-034,1
Random search,15,SYN-035,0
Random search,15,SYN-037,1
Random search,15,SYN-044,2
Random search,15,SYN-050,4
Elite-preserving stochastic search,16,SYN-009,0
Elite-preserving stochastic search,16,SYN-014,1
Elite-preserving stochastic search,16,SYN-027,1
Elite-preserving stochastic search,16,SYN-034,2
Elite-preserving stochastic search,16,SYN-035,1
Elite-preserving stochastic search,16,SYN-037,0
Elite-preserving stochastic search,16,SYN-044,2
Elite-preserving stochastic search,16,SYN-050,3
